Player,Season,Team,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM,Actual GP,Prop GP,25+,True_Adj_GAA,True_Adj_Sv%,GSAA
Doug Favell,19721973,PHI,L,44.0,39.0,20.0,15.0,4,0,1365,1251,114.0,0.9159999999999999,2.83,2413.0333333333333,3.0,0.0,2.0,2.0,4.0,40.21722222222222,0.5156054131054131,Y,2.373399548007927,0.9281585696096947,28.021696506888162
Jim Rutherford,19721973,PIT,L,49.0,48.0,20.0,22.0,5,0,1460,1331,129.0,0.912,2.92,2654.5666666666666,3.0,0.0,0.0,0.0,0.0,44.242777777777775,0.5672150997150996,Y,2.449327038666636,0.9241006031595345,22.905990402971952
Gilles Villemure,19721973,NYR,R,34.0,34.0,20.0,12.0,2,0,859,781,78.0,0.909,2.3,2035.0833333333333,3.0,0.0,0.0,0.0,2.0,33.918055555555554,0.43484686609686607,Y,1.9291142142004571,0.9210640080537388,11.374825860378692
Wayne Stephenson,19721973,STL,L,45.0,42.0,18.0,15.0,7,0,1247,1119,128.0,0.897,3.04,2530.116666666667,1.0,0.0,0.0,0.0,0.0,42.16861111111111,0.5406232193732193,Y,2.549990351767499,0.9089056750879133,1.7443630359630333
Phil Myre,19721973,AFM,L,46.0,45.0,16.0,23.0,5,0,1402,1264,138.0,0.902,3.03,2733.1833333333334,2.0,0.0,1.0,1.0,2.0,45.55305555555556,0.5840135327635328,Y,2.5414041401788308,0.913967464147334,7.871368866415509
Jacques Plante,19721973,"TOR,BOS",L,40.0,37.0,15.0,15.0,6,0,1158,1055,103.0,0.9109999999999999,2.82,2193.4333333333334,3.0,0.0,2.0,2.0,2.0,36.55722222222222,0.4686823361823362,Y,2.3653652597774473,0.9230897159942159,17.484340333316098
Dave Dryden,19721973,BUF,L,37.0,31.0,14.0,13.0,7,0,966,877,89.0,0.9079999999999999,2.65,2014.8166666666666,3.0,0.0,0.0,0.0,0.0,33.58027777777777,0.4305163817663817,Y,2.222637466884413,0.920048822308757,11.507662143336233
Dunc Wilson,19721973,VAN,L,43.0,41.0,13.0,21.0,5,0,1324,1165,159.0,0.88,3.94,2418.4666666666667,1.0,0.0,1.0,1.0,6.0,40.30777777777778,0.5167663817663818,Y,3.3043966244375853,0.8916774925209175,-21.24415664826381
Gilles Meloche,19721973,CGS,R,59.0,57.0,12.0,32.0,14,0,2041,1806,235.0,0.885,4.07,3467.0833333333335,1.0,0.0,2.0,2.0,4.0,57.78472222222222,0.7408297720797721,Y,3.4138216000133497,0.8967435598485629,-22.643749032557707
Ron Low,19721973,TOR,L,42.0,39.0,12.0,24.0,4,0,1277,1125,152.0,0.8809999999999999,3.9,2339.4166666666665,1.0,0.0,0.0,0.0,4.0,38.99027777777778,0.4998753561253561,Y,3.2711571954397174,0.8926911216844845,-19.134280996852624
Michel Plasse,19721973,MTL,L,17.0,16.0,11.0,2.0,3,0,456,416,40.0,0.912,2.58,931.1833333333333,0.0,0.0,0.0,0.0,4.0,15.51972222222222,0.1989707977207977,N,2.1640748559824297,0.9241043078997994,7.444610701202194
Ross Brooks,19721973,BOS,L,16.0,14.0,11.0,1.0,3,0,417,377,40.0,0.904,2.64,909.5666666666667,1.0,0.0,1.0,1.0,0.0,15.159444444444444,0.19435185185185186,N,2.2143368515049526,0.9159969576014312,3.3868479438625343
Gilles Gilbert,19721973,MNS,L,22.0,22.0,10.0,10.0,2,0,695,628,67.0,0.904,3.05,1318.0333333333333,2.0,0.0,0.0,0.0,4.0,21.967222222222222,0.28163105413105416,Y,2.558150864389263,0.9159941676056406,5.311413239770886
Gary Smith,19721973,CHI,L,23.0,22.0,10.0,10.0,2,0,701,622,79.0,0.887,3.54,1337.1333333333334,0.0,0.0,0.0,0.0,5.0,22.285555555555558,0.28571225071225076,Y,2.9688890683837803,0.8987726806411193,-6.064315566792246
Dan Bouchard,19721973,AFM,L,34.0,33.0,9.0,15.0,10,0,1079,979,100.0,0.907,3.09,1940.0833333333333,2.0,0.0,1.0,1.0,12.0,32.33472222222222,0.41454772079772073,Y,2.5915686072327917,0.9190381933911985,12.264769619730629
John Adams,19721973,BOS,L,14.0,14.0,9.0,3.0,1,0,415,376,39.0,0.9059999999999999,3.0,780.0,1.0,0.0,0.0,0.0,0.0,13.0,0.16666666666666666,N,2.5162139031687585,0.9180231923281692,4.178757546050242
Michel Belhumeur,19721973,PHI,L,23.0,19.0,9.0,7.0,3,0,617,557,60.0,0.903,3.23,1115.2833333333333,0.0,0.0,1.0,1.0,2.0,18.588055555555556,0.23830840455840457,N,2.709229014088173,0.9149818170811489,4.195887725091566
Gary Edwards,19721973,LAK,L,27.0,27.0,9.0,16.0,1,0,766,672,94.0,0.877,3.62,1559.2,1.0,0.0,1.0,1.0,0.0,25.986666666666668,0.33316239316239316,Y,3.0363686087751085,0.8886398638543338,-14.301377637892799
Wayne Thomas,19721973,MTL,L,10.0,9.0,8.0,1.0,0,0,259,236,23.0,0.9109999999999999,2.37,583.4833333333333,1.0,0.0,1.0,1.0,2.0,9.724722222222223,0.12467592592592593,N,1.9880521638860298,0.9230905500012997,3.9477065166915963
Bobby Taylor,19721973,PHI,L,23.0,20.0,8.0,8.0,4,0,697,619,78.0,0.888,4.1,1141.3666666666666,0.0,0.0,1.0,1.0,0.0,19.022777777777776,0.24388176638176637,N,3.4388083983394715,0.8997847177123012,-5.480496362416815
Jacques Caron,19721973,STL,L,30.0,27.0,8.0,14.0,5,0,809,717,92.0,0.8859999999999999,3.54,1558.4,1.0,0.0,0.0,0.0,0.0,25.973333333333336,0.33299145299145305,Y,2.9690283308303362,0.8977592676766872,-7.827434084928555
Denis DeJordy,19721973,DET,L,24.0,21.0,8.0,11.0,3,0,607,524,83.0,0.863,3.75,1328.3333333333333,1.0,0.0,0.0,0.0,0.0,22.13888888888889,0.28383190883190884,Y,3.145314139312806,0.8744539454105359,-19.844564263969886
Gord McRae,19721973,TOR,L,11.0,10.0,7.0,3.0,0,0,360,321,39.0,0.892,3.77,620.0,0.0,0.0,0.0,0.0,0.0,10.333333333333334,0.13247863247863248,N,3.1618337580979468,0.9038353264311084,-1.5437283937877382
Billy Smith,19721973,NYI,L,37.0,33.0,7.0,24.0,3,0,1207,1060,147.0,0.878,4.16,2121.016666666667,0.0,0.0,0.0,0.0,42.0,35.350277777777784,0.45320868945868953,Y,3.489230287322111,0.8896527029542681,-21.41744492028279
Gump Worsley,19721973,MNS,L,12.0,12.0,6.0,2.0,3,0,318,288,30.0,0.9059999999999999,2.88,624.1166666666667,0.0,0.0,1.0,1.0,22.0,10.401944444444444,0.1333582621082621,N,2.415362799883422,0.9180210765232232,3.0863732521541607
Bob Johnson,19721973,STL,L,11.0,9.0,6.0,5.0,0,0,274,248,26.0,0.905,2.67,583.2333333333333,0.0,0.0,0.0,0.0,2.0,9.720555555555556,0.12462250712250714,N,2.2391946292761236,0.9170104185923706,2.508384500283775
Denis Herron,19721973,PIT,L,18.0,14.0,6.0,7.0,2,0,454,399,55.0,0.879,3.41,966.3833333333333,2.0,0.0,1.0,1.0,0.0,16.10638888888889,0.20649216524216527,N,2.859858253306613,0.8906639036135656,-7.763479696610098
Andy Brown,19721973,"DET,PIT",L,16.0,14.0,5.0,5.0,4,0,473,412,61.0,0.871,4.27,857.4666666666667,0.0,0.0,0.0,0.0,4.0,14.291111111111112,0.18321937321937323,N,3.581491248474376,0.8825587945340487,-11.786620917393336
Gerry Desjardins,19721973,NYI,L,44.0,44.0,5.0,35.0,3,0,1456,1261,195.0,0.866,4.69,2494.383333333333,0.0,0.0,0.0,0.0,9.0,41.573055555555555,0.5329878917378917,Y,3.933654331287733,0.8774926485864397,-43.510190392652646
Ed Dyck,19721973,VAN,L,25.0,21.0,5.0,17.0,1,0,670,572,98.0,0.8540000000000001,4.54,1294.5833333333333,1.0,0.0,0.0,0.0,0.0,21.57638888888889,0.27662037037037035,Y,3.807770896168771,0.8653314245383706,-28.289716732882738
Marv Edwards,19721973,CGS,L,21.0,21.0,4.0,14.0,2,0,688,601,87.0,0.8740000000000001,4.33,1205.0333333333333,1.0,0.0,1.0,1.0,6.0,20.08388888888889,0.257485754985755,Y,3.631644447529354,0.8855957588863966,-15.416903152572132
Cam Newton,19721973,PIT,L,11.0,8.0,3.0,4.0,0,0,296,261,35.0,0.882,3.95,531.7,0.0,0.0,1.0,1.0,2.0,8.861666666666668,0.11361111111111113,N,3.313035065590838,0.8937031457279505,-4.202621123781032
Bruce Bullock,19721973,VAN,R,14.0,14.0,3.0,8.0,3,0,469,402,67.0,0.857,4.79,839.8333333333334,0.0,0.0,0.0,0.0,2.0,13.997222222222224,0.17945156695156697,N,4.017720632433132,0.8683736298035859,-18.20280171301792
Peter McDuffe,19721973,NYR,L,1.0,1.0,1.0,0.0,0,0,26,25,1.0,0.9620000000000001,1.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01282051282051282,N,0.8387379677229196,0.9747635140333155,1.705175171559774
Dave McLelland,19721973,VAN,L,2.0,2.0,1.0,1.0,0,0,70,60,10.0,0.857,5.0,120.0,0.0,0.0,0.0,0.0,0.0,2.0,0.02564102564102564,N,4.193689838614598,0.8683736298035859,-2.7168360765698383
Rocky Farr,19721973,BUF,R,1.0,1.0,0.0,1.0,0,0,22,19,3.0,0.8640000000000001,6.25,28.783333333333335,0.0,0.0,0.0,0.0,0.0,0.47972222222222227,0.006150284900284901,N,5.241932468117551,0.8754635767982843,-0.7110056240648062
Gerry Gray,19721973,NYI,L,1.0,1.0,0.0,1.0,0,0,34,29,5.0,0.853,5.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01282051282051282,N,4.193689838614598,0.8643193746906593,-1.4624632371910646
Bernie Parent,19731974,PHI,L,73.0,73.0,47.0,13.0,12,0,2006,1870,136.0,0.932,1.89,4307.416666666667,12.0,0.0,3.0,3.0,24.0,71.79027777777779,0.9203881766381767,Y,1.6259046300110396,0.9443367452953563,72.6524140482546
Tony Esposito,19731974,CHI,R,70.0,69.0,34.0,14.0,21,0,1977,1836,141.0,0.929,2.05,4133.15,10.0,0.0,1.0,1.0,0.0,68.88583333333332,0.8831517094017093,Y,1.7639406529163264,0.9412939928584186,64.63600327686905
Gilles Gilbert,19731974,BOS,L,54.0,54.0,34.0,12.0,8,0,1602,1444,158.0,0.9009999999999999,2.96,3207.45,6.0,0.0,1.0,1.0,9.0,53.457499999999996,0.6853525641025641,Y,2.5469509755874244,0.9129274305573988,8.630691577918185
Ed Giacomin,19731974,NYR,L,56.0,54.0,30.0,15.0,10,0,1531,1363,168.0,0.89,3.07,3280.85,5.0,0.0,1.0,1.0,4.0,54.68083333333333,0.7010363247863248,Y,2.6412574010101557,0.9017812255400074,-8.754314103749863
Rogie Vachon,19731974,LAK,L,65.0,63.0,28.0,26.0,10,0,1809,1634,175.0,0.903,2.81,3742.4333333333334,5.0,0.0,0.0,0.0,6.0,62.37388888888889,0.7996652421652423,Y,2.417891446455461,0.9149532512889688,13.161623635739062
Wayne Thomas,19731974,MTL,L,42.0,40.0,23.0,12.0,5,0,1163,1052,111.0,0.905,2.77,2405.9,1.0,0.0,2.0,2.0,6.0,40.098333333333336,0.5140811965811967,Y,2.383350232951578,0.9169756254938076,9.96847334901301
Dave Dryden,19731974,BUF,L,53.0,51.0,23.0,20.0,8,0,1390,1242,148.0,0.894,2.98,2976.9666666666667,1.0,0.0,1.0,1.0,4.0,49.61611111111111,0.6361039886039885,Y,2.5637967303019007,0.9058298479474096,-3.420311302555376
Gary Smith,19731974,VAN,L,65.0,62.0,20.0,33.0,8,0,1955,1747,208.0,0.894,3.45,3619.9,3.0,0.0,0.0,0.0,33.0,60.33166666666667,0.773482905982906,Y,2.968439689671253,0.9058303188929907,-4.652308342802712
Dan Bouchard,19731974,AFM,L,46.0,43.0,19.0,18.0,8,0,1356,1233,123.0,0.909,2.78,2655.6666666666665,5.0,0.0,0.0,0.0,10.0,44.261111111111106,0.5674501424501424,Y,2.3919158808271024,0.9210328425799539,18.043207103406388
Ross Brooks,19731974,BOS,L,21.0,19.0,16.0,3.0,0,0,556,510,46.0,0.917,2.36,1169.5166666666667,3.0,0.0,0.0,0.0,2.0,19.491944444444446,0.24989672364672366,N,2.030506080669928,0.9291385768700947,11.831875478977842
Jim Rutherford,19731974,"PIT,DET",L,51.0,49.0,16.0,23.0,8,0,1466,1298,168.0,0.885,3.54,2845.4,0.0,0.0,4.0,4.0,4.0,47.42333333333333,0.607991452991453,Y,3.045628135358082,0.8967158309493278,-15.515234798234673
Michel Larocque,19731974,MTL,L,27.0,24.0,15.0,8.0,2,0,741,672,69.0,0.907,2.9,1429.9166666666667,0.0,0.0,2.0,2.0,0.0,23.831944444444446,0.3055377492877493,Y,2.4953451635224413,0.9190039896212002,8.074495917126953
Doug Grant,19731974,DET,L,37.0,32.0,15.0,16.0,2,0,1074,934,140.0,0.87,4.16,2016.8333333333333,1.0,0.0,0.0,0.0,2.0,33.61388888888889,0.43094729344729343,Y,3.578946992780035,0.8815128978759581,-28.288787294204667
Doug Favell,19731974,TOR,L,32.0,30.0,14.0,7.0,9,0,868,789,79.0,0.909,2.71,1748.7166666666667,0.0,0.0,0.0,0.0,20.0,29.14527777777778,0.37365740740740744,Y,2.3316097765732398,0.9210310633474929,11.284294812504982
John Davidson,19731974,STL,L,39.0,38.0,13.0,19.0,7,0,1209,1091,118.0,0.902,3.08,2297.25,0.0,0.0,0.0,0.0,10.0,38.2875,0.49086538461538465,Y,2.6498825336480065,0.9139408138549125,7.753124917417651
Wayne Stephenson,19731974,STL,L,40.0,40.0,13.0,21.0,5,0,1203,1080,123.0,0.898,3.13,2357.3,2.0,0.0,1.0,1.0,2.0,39.288333333333334,0.5036965811965812,Y,2.692963562971413,0.9098841307245717,2.129039930234441
Andy Brown,19731974,PIT,L,36.0,33.0,13.0,16.0,4,0,969,854,115.0,0.8809999999999999,3.54,1950.7,1.0,0.0,0.0,0.0,60.0,32.51166666666667,0.41681623931623935,Y,3.0458948820135823,0.8926624144892661,-14.210274569910922
Cesare Maniago,19731974,MNS,L,40.0,39.0,12.0,18.0,10,0,1354,1216,138.0,0.898,3.48,2376.5,1.0,0.0,0.0,0.0,2.0,39.608333333333334,0.5077991452991453,Y,2.9939278759131436,0.9098860163665513,2.835178774345337
Eddie Johnston,19731974,TOR,L,26.0,25.0,12.0,9.0,4,0,739,661,78.0,0.894,3.09,1512.8333333333333,1.0,0.0,0.0,0.0,0.0,25.21388888888889,0.32325498575498574,Y,2.6584074882507243,0.9058352391706694,-1.1335324119341266
Phil Myre,19731974,AFM,L,36.0,35.0,11.0,16.0,6,0,1012,900,112.0,0.889,3.33,2017.55,0.0,0.0,0.0,0.0,4.0,33.62583333333333,0.43110042735042736,Y,2.86503655342806,0.9007683405249267,-6.737665495097886
Gerry Desjardins,19731974,NYI,L,36.0,33.0,9.0,17.0,6,0,1028,927,101.0,0.902,3.12,1939.35,0.0,0.0,0.0,0.0,0.0,32.3225,0.4143910256410256,Y,2.684158093687774,0.913937046070265,5.926561137390692
Dunc Wilson,19731974,TOR,L,24.0,23.0,9.0,11.0,3,0,663,595,68.0,0.897,2.91,1403.2333333333333,1.0,0.0,0.0,0.0,6.0,23.387222222222224,0.29983618233618237,Y,2.50383485303112,0.9088748524652975,0.9613910837451698
Billy Smith,19731974,NYI,L,46.0,43.0,9.0,23.0,12,0,1300,1166,134.0,0.897,3.08,2610.8166666666666,0.0,0.0,0.0,0.0,11.0,43.51361111111111,0.5578668091168091,Y,2.650004256217496,0.9088718693159522,1.218413889696393
Gilles Meloche,19731974,CGS,R,47.0,47.0,9.0,33.0,5,0,1617,1419,198.0,0.878,4.25,2794.133333333333,1.0,0.0,1.0,1.0,2.0,46.568888888888885,0.597037037037037,Y,3.656539439146881,0.8896182289582886,-29.80909595412379
Gump Worsley,19731974,MNS,L,29.0,28.0,8.0,14.0,5,0,872,786,86.0,0.9009999999999999,3.23,1597.15,0.0,0.0,0.0,0.0,0.0,26.61916666666667,0.34127136752136755,Y,2.7789991460083288,0.9129274472141616,4.700351470627126
Mike Veisor,19731974,CHI,R,10.0,9.0,7.0,0.0,2,0,268,248,20.0,0.925,2.23,537.3166666666667,1.0,0.0,1.0,1.0,0.0,8.955277777777779,0.11481125356125357,N,1.9184888196949714,0.9372450836511452,7.875796094183563
Gary Inness,19731974,PIT,L,20.0,17.0,7.0,10.0,1,0,487,431,56.0,0.885,3.26,1030.0333333333333,0.0,0.0,0.0,0.0,0.0,17.16722222222222,0.2200925925925926,N,2.8047472478608206,0.8967135495321503,-5.345101873629119
Gilles Villemure,19731974,NYR,R,21.0,19.0,7.0,7.0,3,0,519,457,62.0,0.8809999999999999,3.53,1052.7166666666667,0.0,0.0,0.0,0.0,0.0,17.545277777777777,0.22493945868945867,N,3.0369669419797507,0.8926578686819546,-8.016648608651977
Michel Plasse,19731974,MTL,L,15.0,14.0,7.0,4.0,2,0,415,358,57.0,0.863,4.08,838.0833333333334,0.0,0.0,0.0,0.0,0.0,13.968055555555557,0.17907763532763535,N,3.5103253259434903,0.8744202745152968,-13.834121719827685
Gary Edwards,19731974,LAK,L,18.0,15.0,5.0,7.0,2,0,454,404,50.0,0.89,3.23,928.4666666666667,1.0,0.0,0.0,0.0,12.0,15.474444444444446,0.1983903133903134,N,2.778980313892284,0.9017788989312433,-2.7775693031367936
Bill McKenzie,19731974,DET,L,13.0,12.0,4.0,4.0,4,0,373,330,43.0,0.885,3.59,719.6333333333333,1.0,0.0,0.0,0.0,2.0,11.993888888888888,0.15376780626780626,N,3.089015029881934,0.8967118522748556,-4.202716630110189
Roger Crozier,19731974,BUF,R,12.0,11.0,4.0,5.0,0,0,313,274,39.0,0.875,3.8,615.1666666666666,0.0,0.0,0.0,0.0,2.0,10.252777777777776,0.13144586894586893,N,3.2692637145370504,0.8865834571303354,-6.443566501942328
Peter McDuffe,19731974,NYR,L,6.0,5.0,3.0,2.0,1,0,187,169,18.0,0.904,3.18,340.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667,0.07264957264957266,N,2.7361928872388215,0.9159634726903412,1.4506487672101755
Gary Bromley,19731974,BUF,L,12.0,10.0,3.0,5.0,3,0,273,240,33.0,0.879,3.31,598.45,0.0,0.0,0.0,0.0,2.0,9.974166666666667,0.12787393162393162,N,2.84793947733619,0.8906347794886017,-4.604133083163756
Bobby Taylor,19731974,PHI,L,7.0,5.0,3.0,3.0,0,0,203,177,26.0,0.872,4.26,365.85,0.0,0.0,0.0,0.0,0.0,6.0975,0.07817307692307693,N,3.665030120336439,0.883540968751868,-4.885124600301253
Fern Rivard,19731974,MNS,L,13.0,11.0,3.0,6.0,2,0,383,333,50.0,0.8690000000000001,4.28,700.6333333333333,1.0,0.0,0.0,0.0,0.0,11.677222222222222,0.1497079772079772,N,3.6823472163795565,0.8805043480866296,-10.162574984804827
Rocky Farr,19731974,BUF,R,11.0,6.0,2.0,4.0,1,0,262,237,25.0,0.905,3.14,477.5833333333333,0.0,0.0,0.0,0.0,2.0,7.959722222222222,0.1020477207977208,N,2.7015617892862216,0.9169757591307841,2.25171110700035
Ken Broderick,19731974,BOS,R,5.0,5.0,2.0,2.0,1,0,127,111,16.0,0.8740000000000001,3.2,299.81666666666666,0.0,0.0,1.0,1.0,0.0,4.996944444444444,0.06406339031339031,N,2.7531279334187766,0.8855679900176887,-2.7902011046219677
Bob Champoux,19731974,CGS,L,17.0,16.0,2.0,11.0,3,0,527,447,80.0,0.848,5.21,922.1166666666667,0.0,0.0,0.0,0.0,0.0,15.368611111111111,0.19703347578347577,N,4.48282255075534,0.8592249212596037,-25.184535292407688
Ed Dyck,19731974,VAN,L,12.0,10.0,2.0,5.0,2,0,291,246,45.0,0.845,4.64,581.65,0.0,0.0,0.0,0.0,0.0,9.694166666666666,0.12428418803418803,N,3.9920787577381134,0.8561861655082363,-14.731878121614113
Jacques Caron,19731974,VAN,L,10.0,6.0,2.0,5.0,1,0,226,188,38.0,0.8320000000000001,4.9,465.1666666666667,0.0,0.0,0.0,0.0,2.0,7.752777777777778,0.0993945868945869,N,4.21580303901236,0.8430111803115897,-14.492798816098933
Glenn Resch,19731974,NYI,L,2.0,2.0,1.0,1.0,0,0,57,51,6.0,0.895,3.0,120.0,0.0,0.0,0.0,0.0,0.0,2.0,0.02564102564102564,N,2.5811485928427045,0.9068443147983085,-0.07119262175946517
Ted Tucker,19731974,CGS,L,5.0,2.0,1.0,1.0,1,0,93,83,10.0,0.892,3.39,176.88333333333333,0.0,0.0,0.0,0.0,0.0,2.9480555555555554,0.037795584045584044,N,2.916595232409893,0.9038088910756824,-0.3266826986601803
Marv Edwards,19731974,CGS,L,14.0,13.0,1.0,10.0,1,0,461,410,51.0,0.889,3.93,777.7666666666667,0.0,0.0,1.0,1.0,4.0,12.962777777777777,0.1661894586894587,N,3.3810889037632683,0.9007685899029426,-3.0494701514230442
Denis Herron,19731974,PIT,L,5.0,3.0,1.0,3.0,0,0,156,138,18.0,0.885,4.18,258.4166666666667,0.0,0.0,0.0,0.0,0.0,4.3069444444444445,0.05521723646723647,N,3.596435305185166,0.8967112524458988,-1.773790333236434
Terrance Richardson,19731974,DET,R,9.0,5.0,1.0,4.0,0,0,163,135,28.0,0.828,5.35,314.2,0.0,0.0,1.0,1.0,0.0,5.236666666666666,0.06713675213675213,N,4.603201729209071,0.838960346418175,-11.045691181522681
Roy Edwards,19731974,DET,R,4.0,4.0,0.0,3.0,0,0,125,107,18.0,0.856,5.82,185.66666666666666,0.0,0.0,0.0,0.0,0.0,3.094444444444444,0.039672364672364666,N,5.007583497692941,0.867329657938496,-4.998229433683038
Jim Watt,19731974,STL,L,1.0,0.0,0.0,0.0,0,0,10,8,2.0,0.8,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.004273504273504273,N,5.162297185685409,0.8105884653630805,-0.9598583546946431
Denis DeJordy,19731974,DET,L,1.0,1.0,0.0,1.0,0,0,8,4,4.0,0.5,12.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.004273504273504273,N,10.324594371370818,0.5066177908519252,-3.1678866837557145
Bernie Parent,19741975,PHI,L,68.0,68.0,44.0,14.0,9,0,1674,1537,137.0,0.9179999999999999,2.04,4034.616666666667,12.0,0.0,0.0,0.0,16.0,67.24361111111111,0.8405451388888888,Y,1.6354265243556012,0.9360581945411017,46.63902879728974
Tony Esposito,19741975,CHI,R,71.0,71.0,34.0,30.0,7,0,2047,1854,193.0,0.9059999999999999,2.75,4208.566666666667,6.0,0.0,1.0,1.0,11.0,70.14277777777778,0.8767847222222223,Y,2.204366746272448,0.9238195666647883,31.55740259740267
Gary Smith,19741975,VAN,L,72.0,70.0,32.0,24.0,9,0,1871,1674,197.0,0.895,3.09,3819.9166666666665,6.0,0.0,1.0,1.0,33.0,63.665277777777774,0.7958159722222222,Y,2.4767780109570166,0.912603153686469,8.250073404856096
Ken Dryden,19741975,MTL,L,56.0,55.0,30.0,9.0,16,0,1590,1441,149.0,0.9059999999999999,2.7,3315.1666666666665,4.0,0.0,3.0,3.0,2.0,55.25277777777777,0.6906597222222222,Y,2.1645261533164493,0.9238229035322593,25.424167137210674
Rogie Vachon,19741975,LAK,L,54.0,54.0,27.0,14.0,13,0,1656,1535,121.0,0.927,2.24,3234.3166666666666,6.0,0.0,1.0,1.0,2.0,53.905277777777776,0.6738159722222222,Y,1.7953864040297856,0.9452339018052391,60.66441558441565
Gary Bromley,19741975,BUF,L,50.0,46.0,26.0,11.0,11,0,1134,990,144.0,0.873,3.1,2784.7166666666667,4.0,0.0,4.0,4.0,2.0,46.411944444444444,0.5801493055555556,Y,2.484876591432361,0.8901721956152137,-19.599367588932765
Gary Inness,19741975,PIT,L,57.0,50.0,24.0,18.0,10,0,1696,1535,161.0,0.905,3.1,3115.883333333333,2.0,0.0,2.0,2.0,2.0,51.93138888888889,0.6491423611111111,Y,2.4849961041893835,0.9228019619545258,25.052444946358065
Gilles Gilbert,19741975,BOS,L,53.0,51.0,23.0,17.0,11,0,1478,1320,158.0,0.893,3.14,3019.4666666666667,3.0,0.0,1.0,1.0,10.0,50.324444444444445,0.6290555555555556,Y,2.5170913928409524,0.9105660823372274,4.137684923771957
Gilles Villemure,19741975,NYR,R,45.0,39.0,22.0,14.0,6,0,1169,1039,130.0,0.889,3.16,2464.5333333333333,2.0,0.0,0.0,0.0,2.0,41.07555555555555,0.5134444444444444,Y,2.5328617317005606,0.9064856275653325,-1.7598418972331444
Billy Smith,19741975,NYI,L,58.0,57.0,21.0,18.0,17,0,1637,1481,156.0,0.905,2.78,3364.3,3.0,0.0,0.0,0.0,21.0,56.07166666666667,0.7008958333333334,Y,2.2283842468338,0.9227998268985579,23.580101637493016
Dan Bouchard,19741975,AFM,L,40.0,40.0,20.0,15.0,5,0,1289,1178,111.0,0.914,2.78,2396.9666666666667,3.0,0.0,2.0,2.0,42.0,39.949444444444445,0.4993680555555556,Y,2.2285652232837507,0.9319779234720321,30.404246188594072
Jim Rutherford,19741975,DET,L,59.0,58.0,20.0,29.0,10,0,1770,1553,217.0,0.877,3.75,3474.9333333333334,2.0,0.0,4.0,4.0,4.0,57.91555555555556,0.7239444444444445,Y,3.006215665237129,0.8942531175947575,-22.829700734048487
Roger Crozier,19741975,BUF,R,23.0,23.0,17.0,2.0,1,0,573,518,55.0,0.904,2.62,1259.5,3.0,0.0,2.0,2.0,8.0,20.991666666666667,0.26239583333333333,Y,2.100228439994391,0.9217819613595792,7.8585206098249785
Michel Larocque,19741975,MTL,L,25.0,25.0,17.0,5.0,3,0,683,609,74.0,0.892,3.0,1478.0,3.0,0.0,1.0,1.0,2.0,24.633333333333333,0.30791666666666667,Y,2.4046449731695274,0.9095438274637399,0.9256013551666058
John Davidson,19741975,STL,L,40.0,39.0,17.0,15.0,7,0,1271,1127,144.0,0.887,3.66,2357.7833333333333,0.0,0.0,2.0,2.0,8.0,39.29638888888889,0.49120486111111117,Y,2.9336914040035484,0.9044457609171669,-4.570367024280017
Gary Edwards,19741975,LAK,L,27.0,26.0,15.0,3.0,8,0,724,663,61.0,0.9159999999999999,2.35,1560.5333333333333,3.0,0.0,0.0,0.0,0.0,26.008888888888887,0.3251111111111111,Y,1.884027538699322,0.9340164444102305,18.423331451157566
Phil Myre,19741975,AFM,L,40.0,40.0,14.0,16.0,10,0,1252,1138,114.0,0.909,2.85,2398.766666666667,5.0,0.0,1.0,1.0,6.0,39.97944444444445,0.4997430555555556,Y,2.284531546154811,0.9268799153029658,23.34531902879735
Michel Plasse,19741975,"KCS,PIT",L,44.0,42.0,13.0,21.0,7,0,1426,1257,169.0,0.8809999999999999,4.03,2513.116666666667,0.0,0.0,2.0,2.0,24.0,41.88527777777778,0.5235659722222222,Y,3.2302706909837284,0.8983322961139351,-12.566753246753194
Ed Giacomin,19741975,NYR,L,37.0,36.0,13.0,12.0,8,0,922,802,120.0,0.87,3.49,2065.1833333333334,1.0,0.0,0.0,0.0,20.0,34.41972222222223,0.43024652777777783,Y,2.7978185351069382,0.8871122093185155,-18.85592320722752
Glenn Resch,19741975,NYI,L,25.0,23.0,12.0,7.0,5,0,701,642,59.0,0.9159999999999999,2.48,1428.55,3.0,0.0,0.0,0.0,0.0,23.809166666666666,0.29761458333333335,Y,1.9881041350225472,0.9340169601914646,17.90021456804068
Eddie Johnston,19741975,STL,L,30.0,30.0,12.0,13.0,5,0,884,791,93.0,0.895,3.1,1797.2333333333333,2.0,0.0,0.0,0.0,0.0,29.95388888888889,0.3744236111111111,Y,2.484771119590315,0.9126036636646048,3.9754488989271977
