Name,Season,Team,GP,GS,Adj. GAA,Adj. Sv%,GSAA,W,L,T,OT,SO,GAA,Sv%,SA,Svs,GA,TOI,G,A,P,PIM
Johan Hedberg,2012-2013,NJD,19,19,2.99,0.879,-12.69,6,10,0,3,1,2.76,0.883,435,384,51,1108.27,0,1,1,4
Robin Lehner,2012-2013,OTT,12,12,2.39,0.932,10.34,5,3,0,4,0,2.2,0.936,424,397,27,734.8,0,0,0,0
Jean-Sebastien Giguere,2012-2013,COL,18,14,3.08,0.904,-1.69,5,4,0,4,0,2.84,0.908,469,426,43,907.83,0,0,0,4
Mathieu Garon,2012-2013,TBL,18,16,3.14,0.893,-6.39,5,9,0,2,0,2.9,0.897,427,383,44,910.07,0,0,0,0
Jason LaBarbera,2012-2013,PHX,15,10,2.86,0.919,4.82,4,6,0,2,0,2.64,0.923,418,386,32,725.92,0,0,0,0
Michal Neuvirth,2012-2013,WSH,13,12,2.97,0.906,-0.68,4,5,0,2,0,2.74,0.91,367,334,33,723.13,0,0,0,0
Jose Theodore,2012-2013,FLA,15,14,3.57,0.889,-7.56,4,6,0,3,0,3.29,0.893,391,349,42,766.47,0,0,0,2
Justin Peters,2012-2013,CAR,19,16,3.75,0.887,-10.43,4,11,0,1,1,3.46,0.8909999999999999,506,451,55,954.4,0,0,0,0
Scott Clemmensen,2012-2013,FLA,19,11,3.98,0.87,-15.92,3,7,0,2,0,3.67,0.8740000000000001,421,368,53,866.42,0,0,0,0
Semyon Varlamov,2013-2014,COL,63,60,2.59,0.921,27.45,41,14,0,6,2,2.41,0.927,2013,1867,146,3639.77,0,3,3,2
Marc-Andre Fleury,2013-2014,PIT,64,64,2.55,0.909,2.86,39,18,0,5,5,2.37,0.915,1774,1624,150,3792.4,0,0,0,4
Antti Niemi,2013-2014,SJS,64,64,2.57,0.907,-2.09,39,17,0,7,4,2.39,0.913,1705,1556,149,3740.28,0,2,2,0
Ben Bishop,2013-2014,TBL,63,63,2.4,0.918,18.48,37,14,0,7,5,2.23,0.924,1758,1625,133,3586.35,0,2,2,4
Tuukka Rask,2013-2014,BOS,58,58,2.19,0.924,26.4,36,15,0,6,7,2.04,0.93,1641,1526,115,3386.45,0,2,2,2
Carey Price,2013-2014,MTL,59,59,2.49,0.921,23.51,34,20,0,5,6,2.32,0.927,1828,1694,134,3464.37,0,2,2,4
Henrik Lundqvist,2013-2014,NYR,63,62,2.54,0.914,11.96,33,24,0,5,5,2.36,0.92,1810,1666,144,3655.32,0,4,4,0
Kari Lehtonen,2013-2014,DAL,65,64,2.59,0.913,9.68,33,20,0,10,5,2.41,0.919,1888,1735,153,3803.98,0,4,4,4
Steve Mason,2013-2014,PHI,61,60,2.69,0.911,5.88,33,18,0,7,4,2.5,0.917,1751,1606,145,3485.6,0,1,1,10
Sergei Bobrovsky,2013-2014,CBJ,58,58,2.56,0.917,15.4,32,20,0,5,5,2.38,0.923,1699,1568,131,3299.43,0,1,1,2
Corey Crawford,2013-2014,CHI,59,56,2.43,0.911,4.09,32,16,0,10,2,2.26,0.917,1533,1405,128,3395.02,0,1,1,0
Jaroslav Halak,2013-2014,"STL,WSH",52,50,2.42,0.915,9.34,29,13,0,7,5,2.25,0.921,1385,1275,110,2938.58,0,1,1,0
Jonas Hiller,2013-2014,ANA,50,50,2.67,0.905,-3.85,29,13,0,7,5,2.48,0.911,1348,1228,120,2908.8,0,2,2,0
Jonathan Quick,2013-2014,LAK,49,49,2.23,0.909,1.93,27,17,0,4,6,2.07,0.915,1183,1083,100,2904.43,0,2,2,2
Mike Smith,2013-2014,PHX,62,61,2.84,0.909,2.22,27,21,0,10,3,2.64,0.915,1871,1712,159,3609.97,1,3,4,14
