Name,Season,Team,GP,GS,Adj. GAA,Adj. Sv%,GSAA,W,L,T,OT,SO,GAA,Sv%,SA,Svs,GA,TOI,G,A,P,PIM
Bob Sauve,1979-1980,BUF,32,31,1.85,0.927,14.24,20,8,4,0,4,2.36,0.901,751,677,74,1878.22,0,4,4,2
Gilles Gilbert,1979-1980,BOS,33,33,2.14,0.917,6.59,20,9,3,0,1,2.73,0.8909999999999999,805,717,88,1930.92,0,1,1,10
John Davidson,1979-1980,NYR,41,39,2.49,0.91,2.67,20,15,4,0,2,3.18,0.885,1061,939,122,2298.7,0,2,2,2
Rogie Vachon,1979-1980,DET,59,57,2.83,0.898,-16.06,20,30,8,0,4,3.62,0.873,1642,1433,209,3463.72,0,3,3,2
Greg Millen,1979-1980,PIT,44,43,2.86,0.906,-1.78,18,18,7,0,2,3.65,0.8809999999999999,1321,1164,157,2580.63,0,3,3,14
Wayne Stephenson,1979-1980,WSH,56,53,2.8,0.905,-4.4,18,24,10,0,0,3.58,0.88,1554,1367,187,3137.6,0,1,1,20
Phil Myre,1979-1980,PHI,41,40,2.8,0.9,-8.57,18,7,15,0,0,3.58,0.875,1127,986,141,2362.72,0,0,0,37
Mario Lessard,1979-1980,LAK,50,48,3.07,0.895,-18.15,18,22,7,0,0,3.93,0.87,1420,1235,185,2825.02,0,0,0,6
Glen Hanlon,1979-1980,VAN,57,56,2.72,0.908,0.17,17,29,10,0,0,3.48,0.883,1644,1451,193,3331.37,0,1,1,28
Michel Larocque,1979-1980,MTL,39,37,2.61,0.905,-2.56,17,13,8,0,3,3.33,0.88,1042,917,125,2254.75,0,2,2,4
Mike Palmateer,1979-1980,TOR,38,35,2.89,0.898,-8.91,16,14,3,0,2,3.69,0.873,988,863,125,2033.23,0,3,3,6
John Garrett,1979-1980,HFD,52,51,3.12,0.891,-25.51,16,24,11,0,0,3.99,0.866,1502,1300,202,3039.62,0,2,2,12
Billy Smith,1979-1980,NYI,38,36,2.32,0.924,16.09,15,14,7,0,2,2.96,0.898,1022,918,104,2109.13,1,0,1,39
Michel Dion,1979-1980,QUE,50,49,2.9,0.913,7.6,15,25,6,0,2,3.71,0.888,1520,1349,171,2765.15,0,0,0,8
Ron Low,1979-1980,"QUE,EDM",26,23,2.8,0.915,6.0,13,9,3,0,0,3.58,0.89,800,712,88,1475.0,0,3,3,0
Pat Riggin,1979-1980,AFM,25,23,2.51,0.92,7.61,11,9,2,0,2,3.21,0.894,686,613,73,1365.32,0,0,0,0
Al Smith,1979-1980,HFD,30,29,2.87,0.901,-5.71,11,10,8,0,2,3.67,0.8759999999999999,862,755,107,1748.43,0,1,1,10
Rob Holland,1979-1980,PIT,34,33,3.0,0.889,-17.08,10,17,6,0,1,3.84,0.8640000000000001,927,801,126,1968.5,0,0,0,2
Steve Baker,1979-1980,NYR,27,23,2.67,0.907,-0.63,9,8,6,0,1,3.41,0.882,667,588,79,1389.02,0,0,0,2
Gary Edwards,1979-1980,MNS,26,25,2.5,0.902,-3.51,9,7,10,0,0,3.2,0.877,668,586,82,1535.87,0,0,0,0
Pierre Hamel,1979-1980,WIN,35,33,3.15,0.902,-6.03,9,19,3,0,0,4.02,0.877,1055,925,130,1939.25,0,2,2,10
Ron Grahame,1979-1980,LAK,26,22,3.27,0.9,-6.11,9,11,4,0,2,4.18,0.875,782,684,98,1405.65,0,1,1,2
Bill McKenzie,1979-1980,CLR,26,24,2.73,0.896,-6.79,9,12,3,0,1,3.49,0.871,606,528,78,1339.97,0,0,0,2
Paul Harrison,1979-1980,TOR,30,25,3.48,0.896,-9.89,9,17,2,0,0,4.45,0.871,852,742,110,1484.62,0,1,1,4
Hardy Astrom,1979-1980,CLR,49,39,2.95,0.895,-15.06,9,27,6,0,0,3.77,0.87,1242,1081,161,2565.7,0,0,0,6
Eddie Mio,1979-1980,EDM,34,30,3.3,0.893,-13.43,9,13,5,0,1,4.22,0.868,907,787,120,1705.85,0,1,1,4
Jim Corsi,1979-1980,EDM,26,20,2.86,0.899,-5.57,8,14,3,0,0,3.66,0.8740000000000001,659,576,83,1359.52,0,3,3,6
Jim Rutherford,1979-1980,DET,23,23,3.27,0.878,-17.86,6,13,3,0,1,4.18,0.8540000000000001,631,539,92,1321.27,0,0,0,24
Mario Lessard,1980-1981,LAK,64,61,2.32,0.925,31.65,35,18,11,0,2,3.26,0.893,1895,1692,203,3736.32,0,1,1,8
Mike Liut,1980-1981,STL,61,61,2.38,0.926,33.42,33,14,13,0,1,3.35,0.894,1877,1678,199,3565.08,0,0,0,0
Tony Esposito,1980-1981,CHI,66,65,2.68,0.922,31.24,29,23,14,0,0,3.76,0.89,2239,1993,246,3926.32,0,3,3,0
Greg Millen,1980-1981,PIT,63,62,2.97,0.895,-23.35,25,27,10,0,0,4.17,0.8640000000000001,1895,1637,258,3710.3,0,2,2,6
Rogie Vachon,1980-1981,BOS,53,52,2.38,0.893,-17.18,25,19,6,0,1,3.34,0.862,1218,1050,168,3014.38,0,1,1,6
Don Edwards,1980-1981,BUF,45,45,2.11,0.93,28.34,23,10,12,0,3,2.96,0.898,1303,1170,133,2695.68,0,2,2,0
Dan Bouchard,1980-1981,"CGY,QUE",43,42,2.45,0.924,20.2,23,10,8,0,2,3.44,0.892,1318,1175,143,2495.22,0,4,4,12
Pete Peeters,1980-1981,PHI,40,39,2.11,0.929,23.06,22,12,5,0,2,2.97,0.897,1115,1000,115,2324.22,0,1,1,8
Billy Smith,1980-1981,NYI,41,39,2.33,0.927,23.18,22,10,8,0,2,3.28,0.895,1229,1100,129,2358.88,0,0,0,33
Pat Riggin,1980-1981,CGY,42,41,2.73,0.915,9.32,21,16,4,0,0,3.84,0.883,1319,1165,154,2405.57,0,1,1,7
Richard Sevigny,1980-1981,MTL,33,29,1.71,0.941,24.1,20,4,3,0,2,2.4,0.908,768,697,71,1776.47,0,0,0,30
Glenn Resch,1980-1981,"NYI,CLR",40,37,2.28,0.923,16.07,20,11,7,0,3,3.21,0.8909999999999999,1107,986,121,2260.22,0,1,1,0
Jiri Crha,1980-1981,TOR,54,51,2.9,0.907,-2.48,20,20,11,0,0,4.08,0.875,1684,1473,211,3104.5,0,1,1,8
Michel Larocque,1980-1981,"MTL,TOR",36,35,2.5,0.904,-3.5,19,12,5,0,1,3.52,0.873,957,835,122,2079.05,0,1,1,2
Don Beaupre,1980-1981,MNS,44,44,2.28,0.927,24.09,18,14,11,0,0,3.21,0.895,1309,1171,138,2579.8,0,1,1,20
Mike Palmateer,1980-1981,WSH,49,47,2.75,0.91,2.1,18,19,9,0,2,3.86,0.878,1406,1234,172,2674.32,0,8,8,17
Gilles Meloche,1980-1981,MNS,38,36,2.32,0.92,13.23,17,14,6,0,2,3.26,0.888,1076,956,120,2210.68,0,0,0,2
Richard Brodeur,1980-1981,VAN,52,50,2.5,0.916,12.08,17,18,16,0,0,3.52,0.884,1527,1350,177,3015.98,0,0,0,0
Bob Sauve,1980-1981,BUF,35,35,2.26,0.912,3.66,16,10,9,0,2,3.18,0.88,926,815,111,2097.53,0,1,1,0
Eddie Mio,1980-1981,EDM,43,38,2.78,0.898,-10.74,16,15,9,0,0,3.9,0.867,1165,1010,155,2387.22,0,5,5,6
Doug Soetaert,1980-1981,NYR,39,39,2.8,0.885,-23.1,16,16,7,0,0,3.94,0.8540000000000001,1041,889,152,2316.53,0,0,0,2
John Garrett,1980-1981,HFD,54,51,3.27,0.903,-8.71,15,27,12,0,0,4.6,0.872,1876,1635,241,3144.07,0,1,1,2
Rejean Lemelin,1980-1981,CGY,29,26,2.31,0.933,22.33,14,6,7,0,2,3.24,0.901,891,803,88,1628.57,0,1,1,2
Rick St. Croix,1980-1981,PHI,27,26,1.78,0.946,27.37,13,7,6,0,2,2.5,0.913,746,681,65,1563.08,0,1,1,0
Gilles Gilbert,1980-1981,DET,48,46,2.86,0.897,-13.29,11,24,9,0,0,4.02,0.866,1306,1131,175,2611.37,0,1,1,12
Steve Baker,1980-1981,NYR,21,21,2.48,0.912,2.41,10,6,5,0,2,3.49,0.88,609,536,73,1256.33,0,0,0,5
Michel Plasse,1980-1981,QUE,33,32,2.6,0.908,-0.49,10,14,9,0,0,3.66,0.8759999999999999,949,831,118,1931.97,0,1,1,0
Phil Myre,1980-1981,"PHI,CLR",26,25,2.73,0.903,-3.11,9,11,5,0,0,3.83,0.872,734,640,94,1473.58,0,0,0,0
Jim Craig,1980-1981,BOS,23,21,2.62,0.892,-8.41,9,7,6,0,0,3.68,0.861,562,484,78,1270.45,0,1,1,11
Jim Rutherford,1980-1981,"DET,TOR,LAK",31,29,3.29,0.887,-18.6,9,16,4,0,0,4.62,0.856,932,798,134,1738.45,0,2,2,2
Al Smith,1980-1981,CLR,36,33,3.39,0.866,-36.71,9,18,4,0,0,4.76,0.836,923,772,151,1901.82,0,2,2,36
Mike Veisor,1980-1981,HFD,29,28,3.19,0.9,-6.19,6,13,6,0,1,4.48,0.8690000000000001,903,785,118,1578.87,0,0,0,0
Hardy Astrom,1980-1981,CLR,30,26,2.68,0.9,-5.55,6,15,6,0,0,3.77,0.8690000000000001,787,684,103,1638.8,0,1,1,2
Larry Lozinski,1980-1981,DET,30,22,3.05,0.889,-13.11,6,11,7,0,0,4.29,0.858,734,630,104,1454.28,0,1,1,0
Ron Low,1980-1981,EDM,24,24,3.16,0.887,-12.89,5,13,3,0,0,4.44,0.856,647,554,93,1257.77,0,3,3,0
Markus Mattsson,1980-1981,WIN,31,29,3.22,0.897,-9.5,3,21,4,0,1,4.52,0.866,957,829,128,1699.22,0,1,1,2
Pierre Hamel,1980-1981,WIN,29,29,3.37,0.892,-13.59,3,20,4,0,0,4.74,0.861,924,796,128,1619.75,0,1,1,4
Michel Dion,1980-1981,"QUE,WIN",26,25,3.61,0.878,-23.19,3,14,6,0,0,5.08,0.847,798,676,122,1441.7,0,1,1,2
Billy Smith,1981-1982,NYI,46,44,2.01,0.934,32.6,32,9,4,0,0,2.97,0.898,1303,1170,133,2683.75,0,1,1,24
Grant Fuhr,1981-1982,EDM,48,48,2.24,0.934,38.34,28,5,14,0,0,3.31,0.898,1537,1380,157,2842.05,0,6,6,6
Mike Liut,1981-1982,STL,64,63,2.76,0.912,8.0,28,28,7,0,2,4.07,0.877,2030,1780,250,3685.4,0,2,2,2
Dan Bouchard,1981-1982,QUE,60,60,2.62,0.902,-11.02,27,22,11,0,1,3.87,0.867,1723,1493,230,3568.1,0,3,3,36
Gilles Meloche,1981-1982,MNS,51,51,2.36,0.93,34.96,26,15,9,0,1,3.48,0.894,1652,1477,175,3021.5,0,1,1,6
Don Edwards,1981-1982,BUF,62,59,2.39,0.917,16.14,26,23,9,0,0,3.52,0.882,1740,1535,205,3492.33,0,2,2,2
Michel Dion,1981-1982,PIT,62,62,2.58,0.913,9.5,25,24,12,0,0,3.8,0.878,1853,1627,226,3571.65,0,1,1,4
Rick Wamsley,1981-1982,MTL,38,37,1.86,0.929,18.72,23,7,7,0,2,2.75,0.893,942,841,101,2204.6,0,2,2,4
Pete Peeters,1981-1982,PHI,44,44,2.52,0.906,-2.15,23,18,3,0,0,3.72,0.871,1242,1082,160,2581.97,0,1,1,19
Steve Weeks,1981-1982,NYR,49,47,2.55,0.903,-6.54,23,16,9,0,1,3.77,0.868,1357,1178,179,2848.67,0,3,3,0
Roland Melanson,1981-1982,NYI,36,36,2.2,0.932,25.8,22,7,6,0,0,3.24,0.8959999999999999,1100,986,114,2112.23,0,0,0,14
Marco Baron,1981-1982,BOS,44,43,2.32,0.899,-8.27,22,16,4,0,1,3.43,0.865,1068,924,144,2516.38,0,2,2,35
Richard Brodeur,1981-1982,VAN,52,51,2.28,0.929,32.17,20,18,12,0,2,3.36,0.893,1575,1407,168,3001.77,0,2,2,0
Ed Staniowski,1981-1982,WIN,45,44,2.68,0.911,4.56,20,19,6,0,1,3.96,0.8759999999999999,1405,1231,174,2637.3,0,5,5,4
Pat Riggin,1981-1982,CGY,52,49,2.88,0.906,-3.27,19,19,11,0,2,4.25,0.871,1603,1396,207,2923.02,0,5,5,4
Tony Esposito,1981-1982,CHI,52,51,3.07,0.903,-9.1,19,25,8,0,1,4.53,0.868,1746,1515,231,3057.53,0,2,2,0
Rogie Vachon,1981-1982,BOS,38,35,2.48,0.893,-13.3,19,11,6,0,1,3.66,0.8590000000000001,934,802,132,2161.7,0,1,1,0
Ron Low,1981-1982,EDM,29,26,2.62,0.909,1.04,17,7,1,0,0,3.86,0.8740000000000001,795,695,100,1553.83,0,0,0,2
Bob Sauve,1981-1982,"BUF,DET",55,53,2.61,0.891,-22.2,17,26,9,0,0,3.85,0.857,1399,1199,200,3120.33,0,0,0,2
Glenn Resch,1981-1982,CLR,61,59,2.74,0.914,11.09,16,31,11,0,0,4.04,0.879,1897,1667,230,3417.72,0,2,2,8
Dave Parro,1981-1982,WSH,52,50,2.85,0.909,2.56,16,26,7,0,1,4.21,0.8740000000000001,1641,1435,206,2937.15,0,1,1,4
Eddie Mio,1981-1982,NYR,25,25,2.41,0.92,9.75,13,6,5,0,0,3.56,0.885,777,688,89,1499.12,0,0,0,4
Rick St. Croix,1981-1982,PHI,29,28,2.64,0.905,-2.57,13,9,6,0,0,3.89,0.87,861,749,112,1725.62,0,1,1,2
Doug Soetaert,1981-1982,WIN,39,36,2.93,0.905,-4.01,13,14,8,0,2,4.32,0.87,1188,1033,155,2155.22,0,2,2,14
Mario Lessard,1981-1982,LAK,52,49,2.97,0.885,-30.86,13,28,8,0,2,4.39,0.851,1441,1227,214,2923.6,0,2,2,6
Denis Herron,1981-1982,MTL,27,26,1.79,0.947,28.59,12,6,8,0,3,2.64,0.911,760,692,68,1544.65,0,0,0,4
Don Beaupre,1981-1982,MNS,28,26,2.51,0.924,14.15,11,8,9,0,0,3.71,0.889,906,805,101,1632.47,0,0,0,4
Greg Millen,1981-1982,HFD,55,53,2.91,0.908,-0.62,11,30,12,0,0,4.3,0.873,1797,1568,229,3194.17,0,4,4,2
Murray Bannerman,1981-1982,CHI,29,28,2.83,0.902,-5.3,11,12,4,0,1,4.18,0.867,871,755,116,1666.72,0,1,1,0
Rejean Lemelin,1981-1982,CGY,34,31,2.93,0.908,0.48,10,15,6,0,0,4.32,0.873,1066,931,135,1874.18,0,1,1,0
Vincent Tremblay,1981-1982,TOR,40,34,3.06,0.906,-1.76,10,18,8,0,1,4.52,0.871,1190,1037,153,2030.42,0,2,2,2
Michel Larocque,1981-1982,TOR,50,44,3.19,0.896,-15.73,10,24,8,0,0,4.7,0.862,1505,1298,207,2642.57,0,3,3,2
John Garrett,1981-1982,"HFD,QUE",28,27,3.14,0.888,-15.83,9,11,7,0,0,4.64,0.8540000000000001,859,734,125,1616.05,0,1,1,2
Al Jensen,1981-1982,WSH,26,19,2.59,0.92,8.6,8,8,4,0,0,3.82,0.885,705,624,81,1270.9,0,2,2,6
Doug Keans,1981-1982,LAK,31,25,2.93,0.898,-6.41,8,10,7,0,0,4.32,0.8640000000000001,760,657,103,1431.03,0,0,0,0
Glen Hanlon,1981-1982,"VAN,STL",30,27,2.76,0.893,-11.18,8,15,5,0,1,4.07,0.8590000000000001,809,695,114,1679.97,0,0,0,22
Gilles Gilbert,1981-1982,DET,27,22,2.89,0.882,-16.93,6,10,6,0,0,4.27,0.848,693,588,105,1476.32,0,0,0,2
Phil Myre,1981-1982,CLR,24,20,3.64,0.872,-23.8,2,17,2,0,0,5.37,0.8390000000000001,694,582,112,1252.48,0,2,2,0
Pete Peeters,1982-1983,BOS,63,61,1.67,0.936,41.61,40,12,9,0,8,2.37,0.903,1498,1353,145,3667.03,0,2,2,33
Andy Moog,1982-1983,EDM,50,47,2.5,0.924,23.6,33,8,7,0,1,3.54,0.8909999999999999,1530,1363,167,2829.53,0,4,4,16
Rick Wamsley,1982-1983,MTL,46,46,2.48,0.91,3.22,27,12,5,0,0,3.51,0.878,1238,1087,151,2582.33,0,1,1,4
Bob Sauve,1982-1983,BUF,54,51,2.44,0.903,-5.84,25,20,7,0,1,3.46,0.871,1390,1211,179,3106.25,0,2,2,8
Roland Melanson,1982-1983,NYI,44,41,1.88,0.943,40.61,24,12,5,0,1,2.66,0.909,1201,1092,109,2456.38,0,3,3,22
Murray Bannerman,1982-1983,CHI,41,41,2.19,0.934,32.58,24,12,5,0,4,3.1,0.901,1281,1154,127,2457.0,0,1,1,2
Pelle Lindbergh,1982-1983,PHI,40,39,2.11,0.923,15.18,23,13,3,0,3,2.99,0.89,1053,937,116,2329.32,0,4,4,0
Tony Esposito,1982-1983,CHI,39,39,2.45,0.92,14.36,23,11,5,0,1,3.47,0.887,1199,1064,135,2336.9,0,0,0,0
Al Jensen,1982-1983,WSH,40,39,2.43,0.915,7.51,22,12,6,0,1,3.44,0.882,1144,1009,135,2353.77,0,0,0,6
Mike Liut,1982-1983,STL,68,64,2.63,0.909,3.56,21,27,13,0,1,3.72,0.877,1915,1680,235,3789.32,0,0,0,2
Richard Brodeur,1982-1983,VAN,58,57,2.68,0.905,-4.45,21,26,8,0,0,3.8,0.873,1634,1426,208,3283.32,0,1,1,2
Mike Palmateer,1982-1983,TOR,53,53,2.82,0.903,-6.28,21,23,7,0,0,3.99,0.871,1531,1334,197,2961.05,0,3,3,17
Gilles Meloche,1982-1983,MNS,47,46,2.52,0.919,15.52,20,13,11,0,1,3.57,0.8859999999999999,1409,1249,160,2686.6,0,1,1,0
Dan Bouchard,1982-1983,QUE,50,50,2.83,0.907,-0.42,20,21,8,0,1,4.01,0.875,1578,1381,197,2945.18,0,4,4,8
Don Beaupre,1982-1983,MNS,36,32,2.53,0.918,10.3,19,10,5,0,0,3.58,0.885,1046,926,120,2008.87,0,2,2,10
Doug Soetaert,1982-1983,WIN,44,44,2.91,0.901,-8.94,19,19,6,0,0,4.12,0.8690000000000001,1325,1151,174,2531.12,0,1,1,10
Billy Smith,1982-1983,NYI,41,39,2.03,0.939,36.37,18,14,7,0,1,2.87,0.906,1191,1079,112,2337.73,0,0,0,42
Bob Froese,1982-1983,PHI,25,23,1.78,0.929,11.88,17,4,2,0,4,2.52,0.8959999999999999,569,510,59,1405.18,0,2,2,2
Rejean Lemelin,1982-1983,CGY,39,34,2.55,0.922,15.99,16,12,8,0,0,3.61,0.889,1196,1063,133,2209.52,0,5,5,7
Eddie Mio,1982-1983,NYR,41,41,2.44,0.915,8.01,16,18,6,0,2,3.46,0.882,1156,1020,136,2361.55,0,3,3,8
Don Edwards,1982-1983,CGY,39,39,2.84,0.915,8.21,16,15,6,0,1,4.02,0.882,1254,1106,148,2208.25,0,2,2,0
Pat Riggin,1982-1983,WSH,38,36,2.37,0.912,5.07,16,9,9,0,0,3.36,0.88,1012,891,121,2158.88,0,0,0,4
Richard Sevigny,1982-1983,MTL,38,33,2.44,0.916,7.68,15,11,8,0,1,3.45,0.883,1041,919,122,2122.33,0,1,1,8
Glenn Resch,1982-1983,NJD,65,63,2.81,0.907,-1.45,15,35,12,0,0,3.98,0.875,1931,1689,242,3645.1,0,3,3,6
Gary Laskoski,1982-1983,LAK,46,39,3.22,0.889,-22.39,15,20,4,0,0,4.56,0.857,1209,1036,173,2276.7,0,1,1,6
Greg Millen,1982-1983,HFD,60,58,3.4,0.895,-26.25,14,38,6,0,1,4.82,0.863,2053,1771,282,3510.88,0,2,2,8
John Garrett,1982-1983,"QUE,VAN",34,30,2.52,0.922,13.57,13,14,5,0,1,3.57,0.889,1008,896,112,1884.62,0,2,2,2
Rick St. Croix,1982-1983,"PHI,TOR",33,30,2.56,0.914,4.97,13,14,4,0,0,3.63,0.8809999999999999,939,827,112,1853.4,0,0,0,0
Grant Fuhr,1982-1983,EDM,32,31,3.04,0.899,-8.04,13,12,5,0,0,4.3,0.867,971,842,129,1798.62,0,0,0,6
Glen Hanlon,1982-1983,"STL,NYR",35,30,2.7,0.921,13.3,12,18,2,0,0,3.82,0.888,1046,929,117,1837.75,0,0,0,2
Michel Dion,1982-1983,PIT,49,47,3.02,0.9,-10.77,12,30,4,0,0,4.27,0.868,1503,1305,198,2780.28,0,2,2,8
Corrado Micalef,1982-1983,DET,34,30,2.56,0.893,-11.2,11,13,5,0,2,3.63,0.861,761,655,106,1751.62,0,1,1,18
Brian Hayward,1982-1983,WIN,24,24,2.63,0.92,8.91,10,12,2,0,1,3.73,0.887,786,697,89,1433.48,0,1,1,0
Jacques Cloutier,1982-1983,BUF,25,24,2.47,0.89,-9.74,10,7,6,0,0,3.5,0.858,572,491,81,1387.22,0,0,0,0
Greg Stefan,1982-1983,DET,35,31,3.2,0.884,-21.4,6,16,9,0,0,4.53,0.853,944,805,139,1840.2,0,0,0,37
Mike Veisor,1982-1983,HFD,23,22,3.93,0.887,-16.47,5,16,1,0,1,5.56,0.855,815,697,118,1273.78,0,0,0,2
Denis Herron,1982-1983,PIT,31,29,3.75,0.869,-35.15,5,18,5,0,1,5.31,0.838,930,779,151,1705.2,0,1,1,14
Grant Fuhr,1983-1984,EDM,45,44,2.73,0.918,14.35,30,10,4,0,1,3.91,0.883,1462,1291,171,2623.17,0,14,14,6
Dan Bouchard,1983-1984,QUE,57,57,2.25,0.917,12.96,29,18,8,0,1,3.21,0.882,1522,1342,180,3368.1,0,3,3,19
Pete Peeters,1983-1984,BOS,49,49,2.21,0.911,3.8,29,16,2,0,0,3.16,0.8759999999999999,1221,1070,151,2864.53,0,0,0,16
Glen Hanlon,1983-1984,NYR,50,48,2.46,0.925,26.07,28,14,4,0,1,3.52,0.89,1515,1349,166,2827.72,0,2,2,30
Bob Froese,1983-1984,PHI,48,46,2.2,0.922,17.86,28,13,7,0,2,3.15,0.887,1324,1174,150,2854.8,0,2,2,10
Andy Moog,1983-1984,EDM,38,36,2.64,0.917,10.22,27,8,1,0,1,3.78,0.882,1177,1038,139,2207.37,0,1,1,4
Tom Barrasso,1983-1984,BUF,42,41,1.99,0.928,21.95,26,12,3,0,2,2.85,0.893,1096,979,117,2466.45,0,2,2,20
Mike Liut,1983-1984,STL,58,57,2.43,0.919,17.39,25,29,4,0,3,3.47,0.884,1691,1494,197,3410.9,0,4,4,0
Al Jensen,1983-1984,WSH,43,42,2.04,0.916,7.37,25,13,3,0,4,2.92,0.8809999999999999,981,864,117,2408.17,0,0,0,22
Billy Smith,1983-1984,NYI,42,38,2.4,0.931,28.86,23,13,2,0,2,3.43,0.8959999999999999,1253,1123,130,2275.95,0,2,2,23
Murray Bannerman,1983-1984,CHI,56,56,2.37,0.922,22.96,23,29,4,0,2,3.39,0.887,1664,1476,188,3325.68,0,4,4,17
Bob Sauve,1983-1984,BUF,40,39,2.44,0.902,-5.01,22,13,4,0,0,3.49,0.868,1049,911,138,2370.35,0,0,0,2
Rejean Lemelin,1983-1984,CGY,51,44,2.46,0.928,28.26,21,12,9,0,0,3.52,0.893,1406,1256,150,2559.38,0,3,3,6
Pat Riggin,1983-1984,WSH,41,36,1.87,0.924,15.02,21,14,2,0,4,2.67,0.889,923,821,102,2294.08,0,0,0,4
Greg Millen,1983-1984,HFD,60,59,2.59,0.913,8.6,21,30,9,0,2,3.71,0.878,1811,1590,221,3575.58,0,3,3,10
Gilles Meloche,1983-1984,MNS,52,48,2.92,0.902,-8.17,21,17,8,0,2,4.18,0.868,1521,1320,201,2884.13,0,1,1,2
Roland Melanson,1983-1984,NYI,37,34,2.29,0.938,33.01,20,11,2,0,0,3.27,0.902,1128,1018,110,2018.1,0,2,2,10
Doug Keans,1983-1984,BOS,33,28,2.18,0.918,8.03,19,8,3,0,2,3.11,0.883,789,697,92,1777.48,0,0,0,2
Greg Stefan,1983-1984,DET,50,44,2.46,0.91,2.42,19,22,2,0,2,3.52,0.875,1218,1066,152,2589.82,0,3,3,14
Rick Wamsley,1983-1984,MTL,42,41,2.59,0.887,-20.13,19,17,3,0,2,3.71,0.853,977,833,144,2325.88,0,3,3,6
Doug Soetaert,1983-1984,WIN,47,43,3.0,0.903,-6.29,18,15,7,0,0,4.29,0.8690000000000001,1378,1197,181,2531.23,0,3,3,14
Don Beaupre,1983-1984,MNS,33,29,2.9,0.907,-0.15,16,13,2,0,0,4.15,0.873,969,846,123,1776.82,0,0,0,17
Richard Sevigny,1983-1984,MTL,40,34,2.37,0.903,-4.44,16,18,2,0,1,3.39,0.8690000000000001,943,819,124,2196.22,0,0,0,12
Pelle Lindbergh,1983-1984,PHI,36,34,2.85,0.894,-12.91,16,13,3,0,1,4.07,0.86,963,828,135,1990.47,0,1,1,6
John Garrett,1983-1984,VAN,29,27,2.88,0.884,-17.28,14,10,2,0,0,4.12,0.85,755,642,113,1646.62,0,0,0,9
Don Edwards,1983-1984,CGY,41,36,2.87,0.905,-3.09,13,19,5,0,0,4.1,0.871,1214,1057,157,2300.03,0,2,2,2
Allan Bester,1983-1984,TOR,32,31,3.05,0.918,10.91,11,16,4,0,0,4.36,0.883,1143,1009,134,1842.55,0,0,0,6
Richard Brodeur,1983-1984,VAN,36,35,2.82,0.901,-6.48,10,21,5,0,1,4.03,0.867,1061,920,141,2099.08,0,2,2,0
Clint Malarchuk,1983-1984,QUE,22,19,2.78,0.899,-5.07,10,9,2,0,0,3.97,0.865,591,511,80,1210.5,0,1,1,9
Steve Weeks,1983-1984,NYR,26,22,2.78,0.898,-5.94,10,11,2,0,0,3.98,0.8640000000000001,663,573,90,1357.72,0,0,0,4
Glenn Resch,1983-1984,NJD,51,41,2.93,0.905,-3.59,9,31,3,0,1,4.19,0.871,1423,1239,184,2631.95,0,2,2,12
Mike Blake,1983-1984,LAK,29,25,3.04,0.901,-5.16,9,11,5,0,0,4.34,0.867,890,772,118,1630.57,0,1,1,6
Mike Palmateer,1983-1984,TOR,34,30,3.43,0.882,-24.37,9,17,4,0,0,4.91,0.848,983,834,149,1822.08,0,2,2,28
Denis Herron,1983-1984,PIT,38,34,2.87,0.919,13.25,8,24,2,0,1,4.1,0.884,1193,1055,138,2017.47,0,0,0,21
Ron Low,1983-1984,NJD,44,39,3.06,0.892,-17.48,8,25,4,0,0,4.37,0.858,1132,971,161,2210.92,0,0,0,4
Eddie Mio,1983-1984,DET,24,22,3.09,0.893,-9.55,7,11,3,0,1,4.42,0.8590000000000001,674,579,95,1289.43,0,1,1,6
Brian Hayward,1983-1984,WIN,28,25,3.41,0.889,-15.22,7,18,2,0,0,4.87,0.855,858,734,124,1526.62,0,1,1,2
Marco Baron,1983-1984,LAK,21,20,3.03,0.895,-7.38,3,14,4,0,0,4.33,0.861,628,541,87,1205.58,0,2,2,10
Michel Dion,1983-1984,PIT,30,25,3.73,0.886,-19.71,2,19,4,0,0,5.34,0.852,933,795,138,1550.6,0,1,1,2
Pelle Lindbergh,1984-1985,PHI,65,63,2.14,0.933,47.41,40,17,7,0,2,3.02,0.899,1926,1732,194,3848.97,0,0,0,4
Brian Hayward,1984-1985,WIN,61,58,2.72,0.909,1.6,33,17,7,0,0,3.83,0.8759999999999999,1760,1541,219,3427.55,0,4,4,10
Rejean Lemelin,1984-1985,CGY,56,51,2.46,0.922,21.93,30,12,10,0,1,3.47,0.888,1635,1452,183,3166.15,0,0,0,4
Pat Riggin,1984-1985,WSH,57,55,2.11,0.919,16.5,28,20,7,0,2,2.98,0.8859999999999999,1472,1304,168,3378.17,0,1,1,2
Murray Bannerman,1984-1985,CHI,60,59,2.72,0.916,16.13,27,25,4,0,0,3.84,0.883,1844,1629,215,3363.18,0,1,1,8
Grant Fuhr,1984-1985,EDM,46,42,2.75,0.917,13.99,26,8,7,0,1,3.87,0.884,1428,1263,165,2556.93,0,3,3,6
Steve Penney,1984-1985,MTL,54,54,2.19,0.909,1.58,26,18,8,0,1,3.09,0.8759999999999999,1345,1178,167,3244.05,0,1,1,8
Tom Barrasso,1984-1985,BUF,54,54,1.89,0.921,16.31,25,18,10,0,5,2.67,0.887,1279,1135,144,3235.73,0,6,6,41
